Sample site,Location-N,Location-E,Altitude (m),Mean annual precipitation (mm),Vegetation type,Collected species,N2-fixing,Mycorrhizal types*,_13C (ä),_15N (ä),
"Xuecunzheng, Shanxi",37¡25«N,110¡46«E,828,481,Grassland,Artemisia vulgaris L.,No,AM,-28.3,-2.48,
"Suide, Shaanxi",37¡30«N,110¡34«E,1100,456,Shrubs,Artemisia annua L.,No,AM,-28.23,2.29,
"Suide, Shaanxi",37¡30«N,110¡34«E,1100,456,Shrubs,Caragana microphylla Laxm.,Yes,AM,-26.29,2.64,
"Suide, Shaanxi",37¡30«N,110¡34«E,1100,456,Shrubs,Ziziphus jujuba var.spinosa (Bunge)Hu,No,AM,-24.39,-2.78,
"Suide, Shaanxi",37¡30«N,110¡34«E,1100,456,Shrubs,Chloris virgata Swartz,No,AM,-13.59,2.27,
"Yizhou, Shanxi",38¡25«N,112¡34«E,900,445.1,Shrubs,Artemisia annua L.,No,AM,-27.7,-4.37,
"Yizhou, Shanxi",38¡25«N,112¡34«E,900,445.1,Shrubs,Ziziphus jujuba var.spinosa (Bunge)Hu,No,AM,-27.73,-2.97,
"Yizhou, Shanxi",38¡25«N,112¡34«E,900,445.1,Shrubs,Artemisia roxburghiana Bess.,No,AM,-26.97,-2.98,
"Yizhou, Shanxi",38¡25«N,112¡34«E,900,445.1,Shrubs,Setaria viridis (L.) Beauv.,No,AM,-13.98,1.81,
"Yizhou, Shanxi",38¡25«N,112¡34«E,900,445.1,Shrubs,Achnatherum splendens(Trin.) Nevski,No,AM,-14.52,2.22,
"Yangqu, Shanxi",38¡13«N,112¡45«E,1060,439.9,Shrubs,Artemisia roxburghiana Bess.,No,AM,-25.53,-1.17,
"Yangqu, Shanxi",38¡13«N,112¡45«E,1060,439.9,Shrubs,Ziziphus jujuba var.spinosa (Bunge)Hu,No,AM,-26.78,-1.9,
"Yangqu, Shanxi",38¡13«N,112¡45«E,1060,439.9,Shrubs,Elymus dahuricus Turcz.,No,AM,-26.39,-2.78,
"Yangqu, Shanxi",38¡13«N,112¡45«E,1060,439.9,Shrubs,Bothriochloa ischaemum (L.) Keng,No,AM,-13.7,5.7,
"Wangshixiang, Shanxi",38¡11«N,112¡29«E,1350,436.2,Shrubs,Artemisia anethoides Mattf.,No,AM,-27.12,-3.07,
"Wangshixiang, Shanxi",38¡11«N,112¡29«E,1350,436.2,Shrubs,Roegntria nutans (Keng) Keng,No,AM,-27.59,-2.91,
"Wangshixiang, Shanxi",38¡11«N,112¡29«E,1350,436.2,Shrubs,Elymus dahuricus Turcz.,No,AM,-27.07,-0.97,
"Wangshixiang, Shanxi",38¡11«N,112¡29«E,1350,436.2,Shrubs,Artemisia tournefortiana Reichb.,No,AM,-27.62,-3.83,
"Changhan, Shaanxi",38¡23«N,109¡38«E,1150,398.2,dune vegetation,Hedysarum mongolicum Turcz.,Yes,AM,-27.15,-3.11,
"Changhan, Shaanxi",38¡23«N,109¡38«E,1150,398.2,dune vegetation,Salix psammophila C.Y.Wang et Ch.Y. Yang,No,AM,-24.88,-5.13,
"Changhan, Shaanxi",38¡23«N,109¡38«E,1150,398.2,dune vegetation,Elymus dahuricus Turcz.,No,AM,-24.9,-1.17,
"Mahezhen, Shaanxi",38¡30«N,109¡27«E,1220,381.8,dune vegetation,Hedysarum mongolicum Turcz.,Yes,AM,-29.35,-3.29,
"Mahezhen, Shaanxi",38¡30«N,109¡27«E,1220,381.8,dune vegetation,Salix psammophila C.Y.Wang et Ch.Y. Yang,No,AM,-26.49,-4.54,
"Mahezhen, Shaanxi",38¡30«N,109¡27«E,1220,381.8,dune vegetation,Salsola ruthenica Iljin.,No,Non,-28.76,-1.62,
"Mahezhen, Shaanxi",38¡30«N,109¡27«E,1220,381.8,dune vegetation,Bassia dasyphylla (Fisch. et C.A.Mey.),No,Non,-29.78,2.33,
"Wushenqi, Neimeng",38¡43«N,109¡09«E,1310,341.9,dune vegetation,Caragana microphylla Laxm.,Yes,AM,-25.51,3.58,
"Wushenqi, Neimeng",38¡43«N,109¡09«E,1310,341.9,dune vegetation,Agropyron cristatum (L.) Gaertn,No,AM,-26.05,1.9,
"Wushenqi, Neimeng",38¡43«N,109¡09«E,1310,341.9,dune vegetation,Salix psammophila C.Y.Wang et Ch.Y. Yang,No,AM,-28.2,0.95,
